PlayerID,Season,ClubName
3562,2021/22,Newcastle United
4340,2021/22,Newcastle United
5220,2021/22,Newcastle United
9257,2021/22,Newcastle United
14938,2021/22,Newcastle United
66494,2021/22,Newcastle United
5672,2021/22,Newcastle United
4918,2021/22,Newcastle United
4135,2021/22,Newcastle United
3934,2021/22,Newcastle United
4713,2021/22,Newcastle United
8052,2021/22,Newcastle United
9662,2021/22,Newcastle United
54312,2021/22,Newcastle United
14897,2021/22,Newcastle United
20607,2021/22,Newcastle United
12817,2021/22,Newcastle United
4771,2021/22,Newcastle United
8454,2021/22,Newcastle United
14446,2021/22,Newcastle United
3905,2021/22,Newcastle United
3756,2021/22,Newcastle United
74761,2021/22,Newcastle United
4815,2021/22,Newcastle United
8707,2021/22,Newcastle United
53177,2021/22,Newcastle United
3169,2021/22,Norwich City
19675,2021/22,Norwich City
19970,2021/22,Norwich City
8945,2021/22,Norwich City
3819,2021/22,Norwich City
22047,2021/22,Norwich City
53085,2021/22,Norwich City
25203,2021/22,Norwich City
10455,2021/22,Norwich City
32700,2021/22,Norwich City
76261,2021/22,Norwich City
33061,2021/22,Norwich City
5169,2021/22,Norwich City
24641,2021/22,Norwich City
24128,2021/22,Norwich City
15269,2021/22,Norwich City
9117,2021/22,Norwich City
19591,2021/22,Norwich City
24221,2021/22,Norwich City
25071,2021/22,Norwich City
51209,2021/22,Norwich City
67704,2021/22,Norwich City
23834,2021/22,Norwich City
23556,2021/22,Norwich City
50165,2021/22,Norwich City
66588,2021/22,Norwich City
65782,2021/22,Norwich City
23853,2021/22,Norwich City
69765,2021/22,Norwich City
66590,2021/22,Norwich City
35741,2021/22,Norwich City
4573,2021/22,Southampton
14982,2021/22,Southampton
3170,2021/22,Southampton
13815,2021/22,Southampton
4612,2021/22,Southampton
51775,2021/22,Southampton
19589,2021/22,Southampton
4286,2021/22,Southampton
4617,2021/22,Southampton
3811,2021/22,Southampton
52153,2021/22,Southampton
12186,2021/22,Southampton
14997,2021/22,Southampton
14452,2021/22,Southampton
49610,2021/22,Southampton
10905,2021/22,Southampton
15011,2021/22,Southampton
15967,2021/22,Southampton
3206,2021/22,Southampton
2839,2021/22,Southampton
21495,2021/22,Southampton
49495,2021/22,Southampton
31442,2021/22,Southampton
9199,2021/22,Southampton
75104,2021/22,Southampton
49961,2021/22,Southampton
10466,2021/22,Southampton
65849,2021/22,Southampton
66225,2021/22,Southampton
4664,2021/22,Tottenham Hotspur
4229,2021/22,Tottenham Hotspur
39606,2021/22,Tottenham Hotspur
20224,2021/22,Tottenham Hotspur
13796,2021/22,Tottenham Hotspur
15116,2021/22,Tottenham Hotspur
4408,2021/22,Tottenham Hotspur
5272,2021/22,Tottenham Hotspur
7488,2021/22,Tottenham Hotspur
4112,2021/22,Tottenham Hotspur
4999,2021/22,Tottenham Hotspur
3960,2021/22,Tottenham Hotspur
12703,2021/22,Tottenham Hotspur
5762,2021/22,Tottenham Hotspur
14656,2021/22,Tottenham Hotspur
21413,2021/22,Tottenham Hotspur
19626,2021/22,Tottenham Hotspur
66635,2021/22,Tottenham Hotspur
66570,2021/22,Tottenham Hotspur
15114,2021/22,Tottenham Hotspur
108924,2021/22,Tottenham Hotspur
51616,2021/22,Tottenham Hotspur
23948,2021/22,Tottenham Hotspur
49195,2021/22,Tottenham Hotspur
51619,2021/22,Tottenham Hotspur
51610,2021/22,Tottenham Hotspur
63654,2021/22,Tottenham Hotspur
14455,2021/22,Tottenham Hotspur
31663,2021/22,Tottenham Hotspur
51612,2021/22,Tottenham Hotspur
31662,2021/22,Tottenham Hotspur
22802,2021/22,Tottenham Hotspur
49316,2021/22,Tottenham Hotspur
77990,2021/22,Tottenham Hotspur
23951,2021/22,Tottenham Hotspur
2932,2021/22,Watford
9762,2021/22,Watford
2214,2021/22,Watford
20064,2021/22,Watford
21612,2021/22,Watford
49992,2021/22,Watford
3160,2021/22,Watford
22546,2021/22,Watford
19605,2021/22,Watford
72119,2021/22,Watford
3448,2021/22,Watford
25089,2021/22,Watford
3390,2021/22,Watford
90666,2021/22,Watford
72371,2021/22,Watford
49796,2021/22,Watford
54144,2021/22,Watford
20701,2021/22,Watford
50960,2021/22,Watford
3507,2021/22,Watford
43087,2021/22,Watford
3926,2021/22,Watford
69816,2021/22,Watford
31905,2021/22,Watford
22866,2021/22,Watford
4549,2021/22,Watford
25269,2021/22,Watford
5570,2021/22,Watford
121739,2021/22,Watford
54900,2021/22,Watford
47181,2021/22,Watford
32298,2021/22,Watford
90665,2021/22,Watford
114256,2021/22,Watford
21714,2021/22,Watford
3309,2021/22,West Ham United
2912,2021/22,West Ham United
2216,2021/22,West Ham United
8897,2021/22,West Ham United
7336,2021/22,West Ham United
5514,2021/22,West Ham United
49884,2021/22,West Ham United
3958,2021/22,West Ham United
11284,2021/22,West Ham United
13872,2021/22,West Ham United
3014,2021/22,West Ham United
